filename,date,subject,study_year,description
/prob_2014_2015/1.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/10.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/11.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/12.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/13.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/14.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/15.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/16.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/17.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/18.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/19.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/2.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/20.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/21.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/22.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/23.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/24.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/25.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/26.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/27.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/28.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/29.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/3.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/30.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/4.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/5.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/6.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/7.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/8.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2014_2015/9.Rmd,2014-12-01,probability,2014-2015,Пересдача промежуточного экзамена по теории вероятностей
/prob_2018_2019/bb_02.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bb_04.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bb_06.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bb_12.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bs_02.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bs_04.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bs_06.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bs_08.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bs_10.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/bs_12.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/da_02.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/da_04.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/da_06.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ev_02.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ev_04.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ev_08.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ev_09n.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ev_11.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ip_01.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ip_03.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ip_07.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ip_09.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/ip_11.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/np_01.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/np_03.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/np_05.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/np_07.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/np_09.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/np_11.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
/prob_2018_2019/pp_01.Rmd,2018-12-28,probability,2018-2019,Промежуточный экзамен по теории вероятностей
